id,summary
10,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Fractionated Stereotactic Ablative Body Radiotherapy (SBRT) With Focal Dose Escalation on Dominant Lesion in Localized Prostate Cancer

Objective: To evaluate the safety and efficacy of SBRT with focal dose escalation on dominant lesion (DIL) in localized prostate cancer.

Eligibility: Men with histologically confirmed prostate adenocarcinoma, primary localized disease, intermediate or high-risk disease, and T2-T3a clinical stage with visible DIL on mpMRI.

Intervention: SBRT with focal boost to the DIL, delivered in 5 fractions of 7.25 Gy to the entire prostate and 50 Gy to the DIL, with partial protection of the prostatic urethra and bladder trigone.

Primary Outcome Measures: Biochemical progression-free survival (PSA nadir +2 ng/ml) at 3 years and local control (disappearance of suspicious image on mpMRI) at 12 months.

Secondary Outcome Measures: Incidence and severity of acute and late urinary and rectal treatment-related adverse events, patient-reported outcomes and quality of life assessment using EPIC-26 short form and IPSS at 2 years.

This study aims to evaluate the efficacy and safety of SBRT with focal dose escalation on DIL in localized prostate cancer, with a focus on biochemical progression-free survival, local control, and patient-reported outcomes."
11,"assistant

The SMILER study is a clinical trial investigating the effectiveness of a serious game (SG) as an e-health intervention for young people with neurologic or respiratory disorders, specifically asthma in children. The study aims to evaluate the impact of SG on the quality of life and skills of children with controlled asthma.

Eligible participants are children aged 12-17 years with controlled asthma, who are not experiencing flare-ups or using oral corticosteroids, leukotriene receptor antagonists, or therapy. Exclusion criteria include respiratory infections, immunological, metabolic, cardiac, or neurological diseases, obesity, preterm birth, major malformations of the respiratory system, active smoking, and pregnancy.

The study consists of two arms: Group 1, which receives the SG intervention to support their asthma treatment plan, and Group 2, which follows the standard treatment plan without SG. The SG is a running game that tracks the child's movements using an Azure's Kinect sensor and adapts to their specific motor skills.

The primary outcome measures include the Pediatric Quality of Life Inventory (PedsQL) and the Skills and Difficulties Questionnaire (SDQ-Ita), which will be assessed at 6 months. Secondary outcome measures include the Conserved Transcriptional Response to Adversity (CTRA) also assessed at 6 months."
12,"assistant

The study ""Cue Effects in Human Addiction: Pavlovian to Instrumental Transfer"" aims to investigate the effects of acute and chronic stress on Pavlovian to Instrumental Transfer (PIT) in individuals with alcohol use disorder (AUD) and healthy controls. The study consists of three experiments, each with a different design and outcome measures.

Experiment 1 assesses the effects of acute and chronic stress on PIT effects in AUD subjects and healthy controls using a behavioral and neural level. The study also examines the relationship between PIT effects and cognitive control abilities.

Experiment 2 uses a 2x3 factorial design to investigate the effects of smoking status and AUD on PIT effects. The study also examines the relationship between PIT effects and other continuous measures, such as alcohol use disorders identification test (AUDIT) scores and quantity-frequency indices.

Experiment 3 uses a full PIT paradigm to investigate the effects of general and outcome-specific PIT on instrumental behavior. The study also examines the relationship between PIT effects and chronic stress levels.

The primary outcome measures include neural PIT effects, behavioral PIT effects, and chronic stress effects on hair cortisol levels. The secondary outcome measures include saliva cortisol concentration, alcohol consumption after 12 months, and cognitive control interference effects.

The study's objectives are to:

1. Assess the effects of acute and chronic stress on PIT effects in AUD subjects and healthy controls.
2. Investigate the relationship between PIT effects and cognitive control abilities.
3. Examine the effects of smoking status and AUD on PIT effects.
4. Investigate the relationship between PIT effects and chronic stress levels.
5. Examine the effects of general and outcome-specific PIT on instrumental behavior.

The study's participants will include individuals with AUD and healthy controls, with a total of 210 participants. The study will use a variety of assessment tools, including behavioral and neural level measures, surveys and questionnaires, and neuroimaging techniques."
13,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Flow and Grow - The Ideal Time to Wean CPAP Off In Extremely Low Birth Weight Infants

Objective: To investigate the effectiveness of a standardized CPAP weaning protocol in reducing the failure rate of CPAP weaning in extremely low birth weight infants.

Design: Multicenter, randomized controlled trial involving 130 premature neonates born between 23 0/7 and 29 6/7 weeks gestational age.

Intervention: Infants in the treatment group will receive a standardized CPAP weaning protocol, while those in the control group will undergo weaning based on unit-specific practices. The standardized protocol will be implemented for all infants in the treatment group until either 32 or 34 weeks gestational age, depending on their gestational age at birth.

Primary Outcome Measure: The number of participants with CPAP/NIS weaning failure, defined as needing more support and/or increased sleep stimulation events after weaning off CPAP/NIS.

Secondary Outcome Measures: The study will also assess various secondary outcomes, including the number of stimulation events per 24 hours, length of hospital stay, rate of bronchopulmonary dysplasia, use of postnatal steroids, and more.

Eligibility Criteria: Infants born at less than 30 weeks gestational age, with informed parental consent obtained.

The study aims to determine the optimal time to wean CPAP off in extremely low birth weight infants, with the goal of reducing the failure rate of CPAP weaning and improving outcomes for these vulnerable infants."
14,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Efficacy and Safety Study of Frexalimab (SAR441344) in Adults With Nonrelapsing Secondary Progressive Multiple Sclerosis

Objective: To evaluate the efficacy and safety of frexalimab compared to placebo in adult patients with nonrelapsing secondary progressive multiple sclerosis (SPMS).

Design: Randomized, double-blind, parallel-group, placebo-controlled phase 3 study.

Eligibility: Patients with a previous diagnosis of relapsing-remitting multiple sclerosis (RRMS) and a current diagnosis of SPMS, with documented evidence of disability progression, and an Expanded Disability Status Scale (EDSS) score of 3.0 to 6.5 points.

Interventions: Patients will receive either frexalimab (SAR441344) or placebo via intravenous infusion, along with MRI contrast-enhancing agents.

Primary Outcome Measure: Time to onset of composite confirmed disability progression (cCDP) confirmed over 6 months.

Secondary Outcome Measures: Include time to onset of individual components of the composite, confirmed over 3- or 6-months, as well as various other measures of efficacy and safety, such as brain volume loss, cognitive function, and patient-reported outcomes.

Duration: The study will last for approximately 5 years, with patients being followed for up to 204 weeks.

The study aims to assess the safety and efficacy of frexalimab in patients with nonrelapsing SPMS, with a focus on delaying disability progression and improving patient outcomes."
15,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Comparative Study Between Modified Millard and Mishra Technique in Unilateral Cleft Lip Repair: a Randomised Controlled Study

Objective: To compare the effectiveness of the modified Millard and Mishra techniques in repairing unilateral cleft lip in infants aged 2-6 months.

Design: Randomized controlled trial with three arms: control group, Mishra technique group, and modified Millard technique group.

Inclusion criteria: Infants with unilateral isolated cleft lip aged 2-6 months, with incomplete and complete unilateral cleft lip (reaching the floor of the nose).

Exclusion criteria: Infants less than 2 months or more than 6 months, bilateral cleft lip patients, recurrent repair cleft lip cases, facial cleft cases, and 5-Syndromic patients.

Primary outcome measures: Surgical repair unilateral cleft lip measurements, including vertical lip height, horizontal lip length, and philtral length, at 3 months post-operative."
16,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Endoscopic Management of Controlled Colo-cutaneous Fistula as a Complication of Acute Sigmoid Diverticulitis: A Randomized Controlled Trial

Objective: To evaluate the effectiveness of endoscopic management using the OTSC (Ovesco Endoscopy) clip system in closing colo-cutaneous fistulas as a complication of acute sigmoid diverticulitis, compared to surgical management.

Design: Randomized controlled trial with 66 patients divided into two groups: Endoscopic Group (EG) and Surgical Group (SG).

Intervention: Endoscopic management using the OTSC clip system in the EG, and sigmoid resection with primary anastomosis in the SG.

Primary Outcome Measure: Incidence of recurrence of fistula within one week after endoscopy.

Secondary Outcome Measures: Incidence of side effects of endoscopy within one month after surgery.

Inclusion Criteria: Patients with controlled colo-cutaneous fistula as a complication of acute sigmoid diverticulitis, recurrent fistula, and failed conservative measures, with good general condition (ASA I&II).

Exclusion Criteria: Patients with poor general condition (ASA III&IV&V), high output fistula, or those who respond to conservative measures.

The study aims to assess the safety and efficacy of endoscopic management using the OTSC clip system in closing colo-cutaneous fistulas, and to reduce morbidity and mortality."
17,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

The ""Multidisciplinary Approach for High Risk Patients Leading to Early Diagnosis of Canadians in Heart Failure"" study aims to improve the screening of heart failure and identify patients at risk for heart failure earlier. The randomized, un-blinded study compares usual care to an intervention group receiving early heart failure testing. Participants with elevated NT-proBNP levels (>125pg/mL) will undergo a study visit with assessments including physical examination, electrocardiogram, and AI echocardiogram. The primary outcome measures include the number of participants diagnosed with heart failure, outpatient HF visits, urgent HF visits, and HF hospitalizations. The study aims to determine if early-screening and treatment can help prevent further decline in high-risk patients."
18,"assistant

This clinical trial aims to evaluate the effects of propofol dosing based on lean body weight (LBW) for anesthesia induction in patients with a body mass index (BMI) below 35. The study will enroll 80 patients aged 18-65 years who will undergo general anesthesia for 2-6 hours. Patients will have their height, weight, age, and other general information recorded, and their total body weight (TBW), ideal body weight (IBW), and LBW will be calculated. Propofol infusion will be started according to TBW, and the infusion will be stopped when the Bispectral Index (BIS) value is between 50 and 40. The total dose of propofol given will be calculated according to TBW, IBW, and LBW, and the relationship between the doses given and BMI will be evaluated. The primary outcome measure is the ratio of propofol dose with sufficient depth of anesthesia according to TBW and LBW."
19,"assistant

This is an open-label, prospective cohort study evaluating the efficacy and tolerability of oral letermovir for cytomegalovirus (CMV) prophylaxis in heart and lung transplant recipients. The study compares subjects receiving letermovir with those who received standard valganciclovir prophylaxis in the two years prior to the study. The primary outcome measures are CMV viral load, proportion of days with appropriate renal dosing, and CMV syndrome or tissue invasive CMV disease. Secondary outcomes include frequency of acute cellular rejection, CMV resistance, neutropenia, severe thrombocytopenia, unplanned discontinuation of mycophenolate mofetil (MMF) or azathioprine, and incorrect renal dosing. The study will enroll 18 years and older, heart or lung transplant recipients who are CMV seropositive and have a functioning graft."
20,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

The study aimed to develop and validate the PHYSIOSCORE, a tool to assess the complexity level and physical therapy care in hospitalized patients with heart and lung diseases. The study consisted of three phases: 

1. Questionnaire validation construct, where a committee of physical therapists developed and validated the PHYSIOSCORE based on variables used in clinical practice.
2. Concordance and interrater reliability, where 10 physical therapists assessed 110 patients with cardiac conditions to establish interrater agreement and reliability.
3. Clinical validation of the instrument, where 110 consecutive patients were selected to assess the level of attention and complexity of physical therapy care.

The study used a sequential assignment design and did not involve randomization. The primary outcome measures were respiratory and neuromuscular variables, including lung function, breath sounds, PaO2/FiO2, and muscle strength, tone, and postural control. The study aimed to establish the reliability and validity of the PHYSIOSCORE as a tool to assess physical therapy care in hospitalized patients."
21,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Selective Adjuvant Therapy for HPV-mediated Oropharynx SCCs Based on Residual Circulating Tumor DNA Levels (SAVAL)

Objective: To evaluate the safety and efficacy of selective adjuvant therapy for HPV-mediated oropharyngeal squamous cell carcinoma (OPSCC) based on residual circulating tumor DNA levels.

Study Design: Single-arm phase II trial with a single experimental arm.

Eligibility Criteria: Patients with pathologically proven p16+ OPSCC, clinical stage T0-3, N0-N1, and M0 disease, and positive ctDNA levels prior to surgery.

Intervention: Patients will undergo observation only if they meet specific criteria, including pathological T1-3 N1-2 with negative surgical margins, absent or microscopic extracapsular extension, and negative post-operative ctDNA levels.

Primary Outcome Measure: Progression-free Survival (PFS) at 2 years post last treatment.

Secondary Outcome Measures: Rate of recurrence, rate of salvage, locoregional recurrence, overall survival, freedom from distant metastases, patient-reported outcomes, and quality of life.

The study aims to reduce acute and long-term side effects of treatment while maintaining excellent clinical outcomes for patients with HPV-mediated OPSCC."
22,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

This is a single-institution, prospective, phase 2 trial comparing ultra-hypofractionated whole breast irradiation (WBI) with partial breast irradiation (PBI) in women with breast cancer who have undergone breast-conserving surgery. The trial aims to evaluate the acute and late toxicity of these two radiotherapy regimens, as well as their effects on local-regional control, disease-free survival, overall survival, distant metastasis occurrence, cosmetic outcome, and quality of life.

The trial includes 50-70 patients aged 50 or older with invasive ductal carcinoma, tumor size ≤ 3 cm, and R0 resection. Patients are randomized to receive either ultra-fractionated PBI (26Gy in 5 fractions) or ultra-fractionated WBI (26Gy in 5 fractions). The primary outcome measures are acute and late toxicity, assessed using the Common Terminology Criteria for Adverse Events (CTCAE) scale version 5.0. Secondary outcome measures include local-regional control, disease-free survival, overall survival, distant metastasis occurrence, cosmetic outcome, and quality of life, assessed using standardized questionnaires."
23,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

This is a prospective, single-arm study evaluating the feasibility and preliminary outcomes of a digital health coaching program (DLC) for patients with relapsed or refractory multiple myeloma (R/R MM). The study aims to explore the use of symptom monitoring and digital life coaching to inform a more complete understanding of the impact of multiple myeloma on symptom burden, health self-efficacy, and financial, physiologic, and psychosocial well-being.

The study will enroll 100 patients with R/R MM who will be assigned to a health advisor for digital health coaching and will receive a Fitbit device for activity tracking. Patients will complete patient-reported outcomes (PROs) at multiple time points to assess their status and explore relationships between medical management, health-related quality of life, and engagement in the program.

The primary outcome measure is the feasibility of the digital health coaching intervention, defined as a retention rate greater than or equal to 70% at 3 months following the start of the coaching intervention. Secondary outcome measures include changes in self-efficacy in coping with cancer and symptom burden.

The study will provide insight into the symptom burden, health self-efficacy, and financial, physiologic, and psychosocial well-being of patients with R/R MM and explore the potential of digital health coaching to augment existing standards of care for patient support."
24,"assistant

This is a pilot study to explore the effect of a 4-week intervention with a dietary supplement containing dried chicory root (WholeFiberTM) on patients with mild to moderate Inflammatory Bowel Diseases (IBD), including Ulcerative Colitis (UC) and Crohn's Disease (CD). The study aims to investigate the effects of WholeFiberTM on fecal calprotectin, IBD complaints, quality of life, serum inflammatory markers, gut microbiota, and short-chain fatty acid (SCFA) levels.

The study will enroll 12 patients with IBD, divided into two groups of 6 patients with UC and 6 patients with CD. Participants will receive 10-20 grams of WholeFiberTM per day for 4 weeks, with measurements taken before and after the intervention. The primary outcome measure is the change in fecal calprotectin levels, while secondary outcomes include changes in IBD complaints, quality of life, and various biomarkers.

The study will also assess the feasibility and acceptance of the WholeFiberTM intervention in this population. The results of this pilot study will provide valuable information on the potential benefits and limitations of WholeFiberTM as a dietary supplement for patients with IBD."
25,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Porcine Acellular Dermal Matrix for the Treatment of Localized Gingival Recessions: A Multicenter Randomized Clinical Trial

Objective: To evaluate the effectiveness of porcine acellular dermal matrix (PADM) in combination with a coronally advanced flap (CAF) for the treatment of localized gingival recessions.

Eligibility: Patients with localized gingival recessions with a height of 3-5mm and at least 2mm of keratinized tissue width are eligible. Exclusion criteria include smokers, pregnant or nursing women, patients with diabetes or other conditions that interfere with tissue repair.

Design: This is a randomized, parallel-group, quadruple-masked clinical trial. Patients will be randomly assigned to receive either CAF alone or CAF combined with PADM.

Outcome Measures: The primary outcome measure is recession reduction, evaluated at baseline, 6 months, and 12 months. Secondary outcome measures include the thickness of keratinized tissue, also evaluated at baseline, 6 months, and 12 months.

The study aims to assess the efficacy and safety of PADM in combination with CAF for the treatment of localized gingival recessions."
26,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

This longitudinal crossover clinical trial aims to compare the effects of physical exercise performed through virtual reality games (VR) and conventional physical exercise (SB) on heart rate variability modulation in chronic renal patients undergoing hemodialysis. The study consists of two groups: Group A, which performs VR exercise for 10 interventions, and Group B, which performs SB exercise for 10 interventions. After a 1-week washout period, the groups switch exercises. The primary outcome measure is heart rate variability behavior during interventions with VR and SB while in hemodialysis. Secondary outcomes include blood pressure, heart rate, respiratory rate, and oxygen saturation during interventions. The study aims to determine the relative effectiveness of VR exercise compared to SB exercise in improving heart rate variability modulation in chronic renal patients during hemodialysis."
27,"assistant

This clinical trial aims to investigate the relationship between ventilatory variability and dyspnea in patients undergoing invasive mechanical ventilation during a weaning trial. The study will assess the presence and intensity of dyspnea using the Dyspnea Visual Analog Scale (D-VAS) and the Mechanical Ventilation Respiratory Distress Observation Scale (MV-RDOS). Ventilatory variability will be measured using two indices: the coefficient of variation (CV) of chest expansion and the H1/DC component of the respiratory signal. The study will also record surface electromyography of inspiratory extra-diaphragmatic muscles and airway flow and pressure. The primary outcome measures are clinically significant dyspnea (D-VAS > 30 mm) and clinically significant dyspnea (MV-RDOS ≥ 2.6). The study will enroll 100 patients, including 50 communicative patients and 50 non-communicative patients, and will compare the variability indices and surface EMG between patients with clinically significant dyspnea and those without. The study will also evaluate the performance of the variability indices and MV-RDOS to predict dyspnea and failure of the weaning trial."
28,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Randomized Control Trial Comparing the Outcome of a Modified Mini-incision Approach Versus the Conventional Approach for Carpal Tunnel Release

Objective: To compare the effectiveness of a modified mini-incision approach versus the conventional approach for carpal tunnel release in patients with primary carpal tunnel syndrome (CTS).

Design: Randomized controlled trial with parallel assignment and single-blinded design.

Participants: Patients with primary CTS attending Mansoura university hospitals with EMG-and NCS-proved median neuropathy at the wrist, failed conservative treatment, and absence of other hand pathology.

Interventions:

* Mini-incision approach: A longitudinal mini-incision started just above the proximal flexor wrist crease and extended for 1.5-2 cm in a proximal direction.
* Conventional approach: A longitudinal incision created between the thenar and hypothenar eminences along the longitudinal axis of the ring finger and extended to the proximal flexor wrist crease.

Primary Outcome Measure: Improvement in carpal tunnel syndrome associated pain, measured using the visual analogue scale (VAS) at 6 months postoperative.

Secondary Outcome Measures:

* Pillar pain, measured using VAS at 1, 3, and 6 months postoperative.
* Recurrence of neuropathic symptoms, measured using VAS till 6 months postoperative.
* Operative time, measured from skin incision to the end of the procedure.
* Scar effect, measured using the SCAR-Q scale at 3 and 6 months postoperative.

The study aims to evaluate the effectiveness of the modified mini-incision approach compared to the conventional approach in terms of pain relief, recurrence of symptoms, operative time, and scar effect in patients with primary CTS."
29,"assistant

The study aims to investigate the effectiveness of an intervention using Action Observation Therapy (AOT) among patients with Mild Cognitive Impairment (MCI). AOT involves observing a motor gesture performed by another individual and then imitating the same movement. The study will compare the effectiveness of AOT in three groups: patients with MCI who observe the therapist, patients with MCI who observe patients without cognitive impairment, and a control group.

The primary objective is to compare the effectiveness of AOT in patients with MCI who observe the therapist, patients with MCI who observe patients without cognitive impairment, and a control group. Secondary objectives include assessing the benefits of AOT on upper limb functionality, ADL, balance, and cognitive status.

The study will recruit 60 patients with MCI and randomly assign them to one of three groups: experimental group 1 (therapist-led imitation exercises), experimental group 2 (peer learning), and control group (standard treatment). The intervention will consist of a 5-week exercise program based on observation and action, with three sessions per week, lasting 20-30 minutes each.

The primary outcome measures will include changes in cognitive impairment (MoCA), activities of daily living (Barthel index), functionality (Fugl-meyer scale), upper limb dexterity (Box and block test), balance (Berg Balance Scale), and gait (10 Meters Walking Test). The study will also assess the benefits of AOT on ADL, balance, and cognitive status.

The study aims to investigate whether AOT is effective in improving cognitive status, upper limb function, ADL, gait, and balance in patients with MCI, and whether there are better outcomes when AOT is conducted under the guidance of a therapist or under the direction of MCI-free individuals, compared to self-directed AOT."
30,"assistant

This clinical trial aims to evaluate the effectiveness of central line placement using an ultraportable ultrasound device compared to standard central line placement. The study will enroll patients aged 18 years or older who are scheduled to have a right or left jugular central venous line placed preoperatively or in the ICU. Patients will be randomly assigned to either the experimental arm, where the central line will be placed using the ultraportable ultrasound device, or the sham comparator arm, where the central line will be placed using conventional ultrasound. The primary outcome measure is the length of the procedure, defined as the time from the start of the ultrasound scan to the fixation of the catheter to the skin after ultrasound verification of correct position. The study will assess the effectiveness of the ultraportable ultrasound device in reducing the time required for central line placement."
31,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Therapeutic Efficacy of Erbium:YAG Laser in Postpartum Patients With Episiotomy Scars

Objective: To evaluate the therapeutic effect of Er:YAG laser on tissue healing of episiotomy scars and reduction of vulvar pain in postpartum patients.

Methodology: A randomized, sham-controlled, prospective study will be conducted in 40 postpartum patients with episiotomy scars and vulvar pain. Patients will be randomly assigned to either an experimental group receiving Er:YAG laser treatment or a sham comparator group receiving a sham treatment. The primary outcome measures will be the rate of change of pain and rate of scar tissue healing, assessed at 6 months. Secondary outcome measures will include the rate of improvement in sexual function and incidence and severity of device-related adverse events.

Inclusion criteria: Adult female patients who have given birth in the last 6 months with episiotomy and vulvar pain. Exclusion criteria: Patients with a history of connective tissue disease or other diseases that can cause vulvar pain.

The study aims to investigate the effectiveness of Er:YAG laser treatment in reducing vulvar pain and improving scar tissue healing in postpartum patients with episiotomy scars."
